State,Year,Return_Period,Return_Level,Standard_Error,CI_Lower,CI_Upper
Andhra Pradesh,2028,50,476.2826,NA,436.2671,516.298
Assam,2028,100,628.4009087,84.44512187,462.8915112,793.9103063
Odisha,2025,5,394.2981073,15.18494781,364.5361564,424.0600581
Odisha,2025,10,442.791751,17.54157706,408.4108918,477.1726103
Odisha,2025,50,549.5185551,23.8741058,502.7261676,596.3109427
Assam,2025,100,627.0358833,84.48920896,461.4400767,792.6316899
Odisha,2026,5,394.9804276,15.29050527,365.0115879,424.9492672
Odisha,2026,10,443.4740713,17.63481159,408.9104757,478.0376669
Odisha,2026,50,550.2008754,23.94573585,503.2680956,597.1336553
Madhya Pradesh,2026,100,627.4550639,56.63600927,516.4505255,738.4596023
Odisha,2027,5,395.6627478,15.39688841,365.4854011,425.8400946
Odisha,2027,10,444.1563916,17.72890136,409.4083835,478.9043998
Odisha,2027,50,550.8831957,24.01814548,503.8084956,597.9578958
Odisha,2027,100,596.0025201,26.94023292,543.2006338,648.8044064
Odisha,2028,5,396.3450681,15.50408022,365.9576293,426.732507
Odisha,2028,10,444.8387119,17.82383283,409.9046415,479.7727823
Odisha,2028,50,551.565516,24.09132768,504.3473814,598.7836506
Madhya Pradesh,2028,100,628.130491,56.63524556,517.1274495,739.1335326
Chhattisgarh,2025,5,308.4919847,11.50120477,285.9500376,331.0339319
Chhattisgarh,2025,10,345.0300846,13.09205462,319.3701291,370.6900402
Assam,2025,50,539.415764,55.73893218,430.1694644,648.6620636
Odisha,2025,100,594.6378795,26.80955576,542.0921158,647.1836432
Chhattisgarh,2026,5,308.7565161,11.59062597,286.0393066,331.4737255
Chhattisgarh,2026,10,345.294616,13.17069248,319.4805331,371.1086989
Chhattisgarh,2026,50,425.7091678,17.56865338,391.2752399,460.1430957
Odisha,2026,100,595.3201998,26.87452995,542.647089,647.9933106
Chhattisgarh,2027,5,309.0210474,11.68075194,286.1271943,331.9149006
Chhattisgarh,2027,10,345.5591473,13.2500884,319.5894513,371.5288434
Chhattisgarh,2027,50,425.9736991,17.62827528,391.4229145,460.5244838
Chhattisgarh,2027,100,459.9693789,19.69971102,421.3586548,498.580103
Chhattisgarh,2028,5,309.2855788,11.7715665,286.2137324,332.3574252
Chhattisgarh,2028,10,345.8236787,13.33022886,319.6969102,371.9504471
Chhattisgarh,2028,50,426.2382305,17.68861366,391.5691848,460.9072762
Odisha,2028,100,596.6848404,27.00665935,543.7527607,649.6169201
Madhya Pradesh,2025,5,381.7057515,13.23045468,355.7745368,407.6369662
Madhya Pradesh,2026,5,382.0434651,13.30825289,355.9597687,408.1271614
Madhya Pradesh,2027,5,382.3811787,13.38675851,356.1436141,408.6187432
Madhya Pradesh,2028,5,382.7188922,13.46595915,356.3260973,409.1116872
Madhya Pradesh,2025,10,432.0673454,17.46859029,397.8295375,466.3051532
Madhya Pradesh,2026,10,432.4050589,17.52126795,398.0640048,466.7461131
Madhya Pradesh,2027,10,432.7427725,17.57467093,398.2970505,467.1884946
Madhya Pradesh,2028,10,433.0804861,17.62879266,398.5286874,467.6322848
Rajasthan,2025,50,510.5776433,22.36731976,466.7385021,554.4167844
Madhya Pradesh,2026,50,562.9235971,40.11139843,484.3067008,641.5404934
Madhya Pradesh,2027,50,563.2613107,40.12076127,484.6260636,641.8965578
Madhya Pradesh,2028,50,563.5990243,40.13050872,484.9446725,642.2533761
Tripura,2025,100,580.1930517,99.01352138,386.1301158,774.2559876
Tripura,2026,100,580.6005876,99.00890576,386.5466981,774.654477
Madhya Pradesh,2027,100,627.7927774,56.63549038,516.789256,738.7962988
Tripura,2028,100,581.4156594,98.99987669,387.3794666,775.4518521
Rajasthan,2025,5,357.3798477,14.6632591,328.6403879,386.1193074
Rajasthan,2025,10,405.2415787,16.71441813,372.4819211,438.0012363
Tamil Nadu,2025,50,499.8115,NA,455.979,543.6441
Telangana,2025,100,577.0983677,78.39290216,423.4511028,730.7456325
Rajasthan,2026,5,357.7858661,14.77228043,328.8327285,386.7390037
Rajasthan,2026,10,405.6475971,16.81024963,372.7001133,438.595081
Rajasthan,2026,50,510.9836617,22.43920924,467.0036197,554.9637037
Telangana,2026,100,577.6620774,78.3896404,424.0212054,731.3029493
Rajasthan,2027,5,358.1918845,14.88219257,329.0233231,387.360446
Rajasthan,2027,10,406.0536156,16.90702506,372.9164554,439.1907758
Rajasthan,2027,50,511.3896801,22.51198601,467.2669983,555.5123619
Rajasthan,2027,100,555.921062,25.1541402,506.6198531,605.2222708
Rajasthan,2028,5,358.597903,14.99297594,329.2122101,387.9835958
Rajasthan,2028,10,406.459634,17.00472832,373.1309789,439.7882891
Rajasthan,2028,50,511.7956986,22.5856415,467.5286547,556.0627425
Telangana,2028,100,578.7894969,78.38343206,425.160793,732.4182007
Punjab,2025,5,221.9989,NA,205.0068,238.9909
Punjab,2025,10,265.2393,NA,237.3663,293.1123
Telangana,2025,50,497.8802911,51.8515934,396.2530355,599.5075467
Rajasthan,2025,100,555.1090251,25.02460816,506.0616944,604.1563558
Punjab,2026,5,221.9989,NA,205.0068,238.9909
Punjab,2026,10,265.2393,NA,237.3663,293.1123
Punjab,2026,50,388.7489,NA,308.3508,469.147
Rajasthan,2026,100,555.5150435,25.08895671,506.341592,604.6884951
Punjab,2027,5,221.9989,NA,205.0068,238.9909
Punjab,2027,10,265.2393,NA,237.3663,293.1123
Punjab,2027,50,388.7489,NA,308.3508,469.147
Punjab,2027,100,455.5765,NA,336.1226,575.0305
Punjab,2028,5,221.9989,NA,205.0068,238.9909
Punjab,2028,10,265.2393,NA,237.3663,293.1123
Punjab,2028,50,388.7489,NA,308.3508,469.147
Rajasthan,2028,100,556.3270804,25.22015214,506.8964905,605.7576703
Himachal Pradesh,2025,5,277.0030555,11.49933625,254.4647706,299.5413404
Himachal Pradesh,2025,10,313.1534919,13.17899073,287.3231447,338.9838391
Bihar,2025,50,483.0433469,20.20490721,443.4424564,522.6442373
Tamil Nadu,2025,100,548.1336,NA,497.6976,598.5696
Himachal Pradesh,2026,5,277.263416,11.583317,254.5605319,299.9663001
Himachal Pradesh,2026,10,313.4138524,13.25467777,287.4351613,339.3925434
Himachal Pradesh,2026,50,392.9752184,17.72853088,358.2279364,427.7225005
Tamil Nadu,2026,100,548.1336,NA,497.6976,598.5696
Himachal Pradesh,2027,5,277.5237765,11.66787629,254.6551592,300.3923938
Himachal Pradesh,2027,10,313.6742129,13.3309705,287.5459908,339.8024349
Himachal Pradesh,2027,50,393.2355789,17.78970191,358.3684039,428.1027539
Himachal Pradesh,2027,100,426.8705698,19.85996757,387.9457486,465.7953909
Himachal Pradesh,2028,5,277.7841369,11.75300164,254.748677,300.8195968
Himachal Pradesh,2028,10,313.9345733,13.40785861,287.6556533,340.2134933
Himachal Pradesh,2028,50,393.4959394,17.85143655,358.5077667,428.4841121
Tamil Nadu,2028,100,548.1336,NA,497.6976,598.5696
Jammu Kashmir,2025,5,200.2848,NA,185.4766,215.0931
Jammu Kashmir,2025,10,237.308,NA,213.4427,261.1734
Tripura,2025,50,482.0854999,63.28857187,358.0421784,606.1288214
Bihar,2025,100,521.5652986,22.59396416,477.2819426,565.8486546
Jammu Kashmir,2026,5,200.2848,NA,185.4766,215.0931
Jammu Kashmir,2026,10,237.308,NA,213.4427,261.1734
Jammu Kashmir,2026,50,338.523,NA,270.5142,406.5317
Bihar,2026,100,522.0797774,22.65610394,477.6746297,566.4849252
Jammu Kashmir,2027,5,200.2848,NA,185.4766,215.0931
Jammu Kashmir,2027,10,237.308,NA,213.4427,261.1734
Jammu Kashmir,2027,50,338.523,NA,270.5142,406.5317
Jammu Kashmir,2027,100,391.1206,NA,290.9004,491.3408
Jammu Kashmir,2028,5,200.2848,NA,185.4766,215.0931
Jammu Kashmir,2028,10,237.308,NA,213.4427,261.1734
Jammu Kashmir,2028,50,338.523,NA,270.5142,406.5317
Bihar,2028,100,523.1087351,22.78277084,478.4553248,567.7621454
Ladakh,2025,5,188.3164,NA,168.027,208.6058
Ladakh,2025,10,240.9179,NA,205.7344,276.1013
Andhra Pradesh,2025,50,476.2826,NA,436.2671,516.298
Andhra Pradesh,2025,100,519.7709,NA,473.7015,565.8402
Ladakh,2026,5,188.3164,NA,168.027,208.6058
Ladakh,2026,10,240.9179,NA,205.7344,276.1013
Ladakh,2026,50,402.9838,NA,290.2254,515.7421
Andhra Pradesh,2026,100,519.7709,NA,473.7015,565.8402
Ladakh,2027,5,188.3164,NA,168.027,208.6058
Ladakh,2027,10,240.9179,NA,205.7344,276.1013
Ladakh,2027,50,402.9838,NA,290.2254,515.7421
Ladakh,2027,100,496.9088,NA,322.8381,670.9795
Ladakh,2028,5,188.3164,NA,168.027,208.6058
Ladakh,2028,10,240.9179,NA,205.7344,276.1013
Ladakh,2028,50,402.9838,NA,290.2254,515.7421
Andhra Pradesh,2028,100,519.7709,NA,473.7015,565.8402
Uttarakhand,2025,5,261.0869,NA,245.501,276.6728
Uttarakhand,2025,10,297.6968,NA,277.6523,317.7414
Karnataka,2025,50,463.3579081,17.39161979,429.2709597,497.4448565
Karnataka,2025,100,497.2139583,19.50964042,458.9757658,535.4521509
Uttarakhand,2026,5,261.0869,NA,245.501,276.6728
Uttarakhand,2026,10,297.6968,NA,277.6523,317.7414
Uttarakhand,2026,50,378.2696,NA,347.6837,408.8555
Karnataka,2026,100,497.7409388,19.55729522,459.4093445,536.0725331
Uttarakhand,2027,5,261.0869,NA,245.501,276.6728
Uttarakhand,2027,10,297.6968,NA,277.6523,317.7414
Uttarakhand,2027,50,378.2696,NA,347.6837,408.8555
Uttarakhand,2027,100,412.3321,NA,377.1575,447.5068
Uttarakhand,2028,5,261.0869,NA,245.501,276.6728
Uttarakhand,2028,10,297.6968,NA,277.6523,317.7414
Uttarakhand,2028,50,378.2696,NA,347.6837,408.8555
Karnataka,2028,100,498.7948997,19.65434612,460.2730892,537.3167102
Chandigarh,2025,5,112.6641738,7.34109,98.27590178,127.0524458
Chandigarh,2025,10,135.6180417,8.291527766,119.366946,151.8691375
Dadra and Nagar Haveli and Daman and Diu,2025,50,438.1332627,12.32259723,413.981416,462.2851095
Ladakh,2025,100,496.9088,NA,322.8381,670.9795
Chandigarh,2026,5,112.4030929,7.401667604,97.89609093,126.9100948
Chandigarh,2026,10,135.3569608,8.344966679,119.0011267,151.712795
Chandigarh,2026,50,185.8747767,11.01054784,164.2944995,207.455054
Ladakh,2026,100,496.9088,NA,322.8381,670.9795
Chandigarh,2027,5,112.1420119,7.462708149,97.51537273,126.7686511
Chandigarh,2027,10,135.0958799,8.398913842,118.6343113,151.5574485
Chandigarh,2027,50,185.6136958,11.05106588,163.9540047,207.2733869
Chandigarh,2027,100,206.9703713,12.31700518,182.8294848,231.1112579
Chandigarh,2028,5,111.880931,7.524200369,97.13376927,126.6280927
Chandigarh,2028,10,134.834799,8.453359525,118.2665187,151.4030792
Chandigarh,2028,50,185.3526149,11.0920782,163.6125411,207.0926887
Ladakh,2028,100,496.9088,NA,322.8381,670.9795
Haryana,2025,5,223.6595,NA,210.5982,236.7209
Haryana,2025,10,254.3176,NA,237.5344,271.1008
Chhattisgarh,2025,50,425.4446364,17.50975529,391.1261467,459.7631262
Dadra and Nagar Haveli and Daman and Diu,2025,100,479.5269311,12.5335269,454.9616698,504.0921924
Haryana,2026,5,223.6595,NA,210.5982,236.7209
Haryana,2026,10,254.3176,NA,237.5344,271.1008
Haryana,2026,50,321.7913,NA,296.2107,347.3718
Dadra and Nagar Haveli and Daman and Diu,2026,100,480.0275385,12.67240825,455.1900747,504.8650022
Haryana,2027,5,223.6595,NA,210.5982,236.7209
Haryana,2027,10,254.3176,NA,237.5344,271.1008
Haryana,2027,50,321.7913,NA,296.2107,347.3718
Haryana,2027,100,350.3161,NA,320.9061,379.7261
Haryana,2028,5,223.6595,NA,210.5982,236.7209
Haryana,2028,10,254.3176,NA,237.5344,271.1008
Haryana,2028,50,321.7913,NA,296.2107,347.3718
Dadra and Nagar Haveli and Daman and Diu,2028,100,481.0287532,12.9521643,455.6429776,506.4145287
Delhi,2025,5,118.2748,NA,109.0789,127.4706
Delhi,2025,10,139.8125,NA,127.9925,151.6326
Jharkhand,2025,50,423.4452662,18.69235733,386.808919,460.0816133
Mizoram,2025,100,476.757406,75.56431047,328.654079,624.8607331
Delhi,2026,5,118.2748,NA,109.0789,127.4706
Delhi,2026,10,139.8125,NA,127.9925,151.6326
Delhi,2026,50,187.2138,NA,169.1931,205.2346
Mizoram,2026,100,476.9570221,75.55217428,328.8774815,625.0365626
Delhi,2027,5,118.2748,NA,109.0789,127.4706
Delhi,2027,10,139.8125,NA,127.9925,151.6326
Delhi,2027,50,187.2138,NA,169.1931,205.2346
Delhi,2027,100,207.2529,NA,186.5335,227.9724
Delhi,2028,5,118.2748,NA,109.0789,127.4706
Delhi,2028,10,139.8125,NA,127.9925,151.6326
Delhi,2028,50,187.2138,NA,169.1931,205.2346
Mizoram,2028,100,477.3562541,75.52810319,329.323892,625.3886162
Uttar Pradesh,2025,5,369.4418425,NA,344.3678563,394.5158288
Uttar Pradesh,2025,10,432.6111199,NA,392.239191,472.9830488
Kerala,2025,50,421.1978,NA,389.239,453.1565
Chhattisgarh,2025,100,459.4403162,19.5937072,421.0373557,497.8432766
Uttar Pradesh,2026,5,369.4418425,NA,344.3678563,394.5158288
Uttar Pradesh,2026,10,432.6111199,NA,392.239191,472.9830488
Uttar Pradesh,2026,50,607.2570765,NA,494.3697116,720.1444414
Chhattisgarh,2026,100,459.7048475,19.6463676,421.1986746,498.2110204
Uttar Pradesh,2027,5,369.4418425,NA,344.3678563,394.5158288
Uttar Pradesh,2027,10,432.6111199,NA,392.239191,472.9830488
Uttar Pradesh,2027,50,607.2570765,NA,494.3697116,720.1444414
Uttar Pradesh,2027,100,698.9623755,NA,533.3159437,864.6088074
Uttar Pradesh,2028,5,369.4418425,NA,344.3678563,394.5158288
Uttar Pradesh,2028,10,432.6111199,NA,392.239191,472.9830488
Uttar Pradesh,2028,50,607.2570765,NA,494.3697116,720.1444414
Chhattisgarh,2028,100,460.2339102,19.75373192,421.5173071,498.9505133
Bihar,2025,5,350.5193192,13.32108799,324.4104665,376.6281719
Bihar,2025,10,391.9221954,15.1432135,362.2420423,421.6023485
Arunachal Pradesh,2025,50,405.5097493,NA,371.6753262,439.3441724
Jharkhand,2025,100,458.0814683,20.91341269,417.0919327,499.071004
Bihar,2026,5,351.033798,13.42610919,324.7191076,377.3484885
Bihar,2026,10,392.4366742,15.23570108,362.5752489,422.2980996
Bihar,2026,50,483.5578257,20.27435462,443.8208209,523.2948306
Jharkhand,2026,100,458.4600139,20.97226109,417.3551375,499.5648903
Bihar,2027,5,351.5482769,13.53194043,325.026161,378.0703927
Bihar,2027,10,392.9511531,15.32906522,362.9067373,422.9955688
Bihar,2027,50,484.0723046,20.34464589,444.1975314,523.9470778
Bihar,2027,100,522.5942563,22.71904171,478.0657528,567.1227598
Bihar,2028,5,352.0627557,13.63856284,325.3316637,378.7938477
Bihar,2028,10,393.4656319,15.42329,363.236539,423.6947249
Bihar,2028,50,484.5867834,20.41577229,444.572605,524.6009618
Jharkhand,2028,100,459.2171049,21.09199195,417.8775604,500.5566495
Jharkhand,2025,5,304.2890756,12.22121697,280.3359305,328.2422207
Jharkhand,2025,10,341.5156005,13.95246422,314.1692731,368.8619278
Ladakh,2025,50,402.9838,NA,290.2254,515.7421
Kerala,2025,100,456.1867,NA,419.4045,492.9689
Jharkhand,2026,5,304.6676212,12.31660589,280.5275172,328.8077251
Jharkhand,2026,10,341.894146,14.03711678,314.3819027,369.4063893
Jharkhand,2026,50,423.8238117,18.75740853,387.0599666,460.5876569
Kerala,2026,100,456.1867,NA,419.4045,492.9689
Jharkhand,2027,5,305.0461667,12.41269285,280.7177358,329.3745976
Jharkhand,2027,10,342.2726915,14.12251972,314.5930615,369.9523216
Jharkhand,2027,50,424.2023572,18.82317861,387.3096051,461.0951094
Jharkhand,2027,100,458.8385594,21.03178943,417.6170096,500.0601092
Jharkhand,2028,5,305.4247122,12.50946174,280.9066178,329.9428067
Jharkhand,2028,10,342.6512371,14.20865953,314.8027761,370.499698
Jharkhand,2028,50,424.5809028,18.88966007,387.5578494,461.6039562
Kerala,2028,100,456.1867,NA,419.4045,492.9689
West Bengal,2025,5,392.1967495,15.74260525,361.3418102,423.0516888
West Bengal,2026,5,392.5909206,15.84316753,361.5388828,423.6429583
West Bengal,2027,5,392.9850917,15.94459835,361.7342532,424.2359302
West Bengal,2028,5,393.3792628,16.04688125,361.9279535,424.8305722
West Bengal,2025,10,450.5964836,20.67075632,410.0825457,491.1104216
West Bengal,2026,10,450.9906548,20.74025667,410.3404987,491.6408109
West Bengal,2027,10,451.3848259,20.8106763,410.5966498,492.1730019
West Bengal,2028,10,451.778997,20.88200593,410.8510175,492.7069766
Mizoram,2025,50,397.2549744,48.98146097,301.253075,493.2568738
West Bengal,2026,50,603.0390173,47.76612347,509.4191357,696.658899
West Bengal,2027,50,603.4331885,47.7807791,509.7845823,697.0817947
West Bengal,2028,50,603.8273596,47.79593155,510.1490552,697.5056641
Punjab,2025,100,455.5765,NA,336.1226,575.0305
Punjab,2026,100,455.5765,NA,336.1226,575.0305
West Bengal,2027,100,678.9345866,67.72698926,546.1921269,811.6770464
Punjab,2028,100,455.5765,NA,336.1226,575.0305
Sikkim,2025,5,223.5800928,9.900737836,204.1750032,242.9851824
Sikkim,2025,10,253.678355,11.25488729,231.6191812,275.7375287
Himachal Pradesh,2025,50,392.714858,17.66792932,358.0863528,427.3433631
Arunachal Pradesh,2025,100,443.0874121,NA,404.1687015,482.0061226
Sikkim,2026,5,223.9229236,9.979800343,204.3628743,243.4829728
Sikkim,2026,10,254.0211857,11.32590124,231.8228272,276.2195442
Sikkim,2026,50,320.262678,15.00450352,290.8543915,349.6709645
Arunachal Pradesh,2026,100,443.0874121,NA,404.1687015,482.0061226
Sikkim,2027,5,224.2657543,10.05939962,204.5496933,243.9818152
Sikkim,2027,10,254.3640164,11.39749492,232.0253369,276.702696
Sikkim,2027,50,320.6055087,15.06106533,291.0863631,350.1246543
Sikkim,2027,100,348.609452,16.78146856,315.7183781,381.500526
Sikkim,2028,5,224.608585,10.13952301,204.7354851,244.4816849
Sikkim,2028,10,254.7068472,11.46965747,232.2267316,277.1869627
Sikkim,2028,50,320.9483394,15.11818614,291.3172391,350.5794398
Arunachal Pradesh,2028,100,443.0874121,NA,404.1687015,482.0061226
Arunachal Pradesh,2025,5,276.2342842,NA,259.0231683,293.4454002
Arunachal Pradesh,2025,10,316.6222514,NA,294.4691959,338.7753068
Himachal Pradesh,2025,100,426.3498488,19.74781429,387.6448441,465.0548536
Arunachal Pradesh,2026,5,276.2342842,NA,259.0231683,293.4454002
Arunachal Pradesh,2026,10,316.6222514,NA,294.4691959,338.7753068
Arunachal Pradesh,2026,50,405.5097493,NA,371.6753262,439.3441724
Himachal Pradesh,2026,100,426.6102093,19.80362183,387.7958238,465.4245949
Arunachal Pradesh,2027,5,276.2342842,NA,259.0231683,293.4454002
Arunachal Pradesh,2027,10,316.6222514,NA,294.4691959,338.7753068
Arunachal Pradesh,2027,50,405.5097493,NA,371.6753262,439.3441724
Arunachal Pradesh,2027,100,443.0874121,NA,404.1687015,482.0061226
Arunachal Pradesh,2028,5,276.2342842,NA,259.0231683,293.4454002
Arunachal Pradesh,2028,10,316.6222514,NA,294.4691959,338.7753068
Arunachal Pradesh,2028,50,405.5097493,NA,371.6753262,439.3441724
Himachal Pradesh,2028,100,427.1309302,19.91684694,388.0946276,466.1672329
Assam,2025,5,324.3658134,13.94408153,297.0359158,351.695711
Assam,2026,5,324.8208219,14.02148919,297.3392081,352.3024357
Assam,2027,5,325.2758304,14.09961305,297.6410966,352.9105641
Assam,2028,5,325.7308388,14.17844128,297.9416046,353.5200731
Assam,2025,10,379.5508666,19.69207008,340.9551185,418.1466148
Assam,2026,10,380.0058751,19.73627148,341.3234938,418.6882564
Assam,2027,10,380.4608836,19.78118752,341.6904685,419.2312987
Assam,2028,10,380.9158921,19.82681333,342.056052,419.7757321
Assam,2026,50,539.8707724,55.73324177,430.6356258,649.105919
Assam,2027,50,540.3257809,55.72783949,431.1012226,649.5503393
Assam,2028,50,540.7807894,55.72272545,431.5662544,649.9953244
Assam,2027,100,627.9459003,84.45962962,462.4080681,793.4837325
Meghalaya,2025,5,806.4050022,100.0392421,610.3316906,1002.478314
Meghalaya,2026,5,818.8717181,103.2092726,616.585261,1021.158175
Meghalaya,2027,5,831.5744765,106.4803101,622.8769036,1040.272049
Meghalaya,2028,5,844.5182211,109.8550456,629.2062881,1059.830154
Meghalaya,2025,10,1159.275524,168.8941048,828.2491618,1490.301887
Meghalaya,2026,10,1179.132885,174.1824483,837.74156,1520.524211
Meghalaya,2027,10,1199.381081,179.6359891,847.3010121,1551.46115
Meghalaya,2028,10,1220.028297,185.2591346,856.9270656,1583.129529
Punjab,2025,50,388.7489,NA,308.3508,469.147
Meghalaya,2026,50,2247.996356,471.8274004,1323.231644,3172.761068
Meghalaya,2027,50,2290.631206,484.4873103,1341.053527,3240.208886
Meghalaya,2028,50,2334.133951,497.5148424,1359.022779,3309.245124
Meghalaya,2027,100,2901.874196,713.0700777,1504.282526,4299.465867
Nagaland,2025,5,116.0966468,NA,108.4985946,123.694699
Nagaland,2025,10,135.1049499,NA,123.0311278,147.1787719
Uttarakhand,2025,50,378.2696,NA,347.6837,408.8555
Uttarakhand,2025,100,412.3321,NA,377.1575,447.5068
Nagaland,2026,5,116.0966468,NA,108.4985946,123.694699
Nagaland,2026,10,135.1049499,NA,123.0311278,147.1787719
Nagaland,2026,50,186.5750826,NA,152.9889803,220.1611849
Uttarakhand,2026,100,412.3321,NA,377.1575,447.5068
Nagaland,2027,5,116.0966468,NA,108.4985946,123.694699
Nagaland,2027,10,135.1049499,NA,123.0311278,147.1787719
Nagaland,2027,50,186.5750826,NA,152.9889803,220.1611849
Nagaland,2027,100,213.0858536,NA,163.9256613,262.2460459
Nagaland,2028,5,116.0966468,NA,108.4985946,123.694699
Nagaland,2028,10,135.1049499,NA,123.0311278,147.1787719
Nagaland,2028,50,186.5750826,NA,152.9889803,220.1611849
Uttarakhand,2028,100,412.3321,NA,377.1575,447.5068
